,id,symbol_id,candle_type,open_price,high_price,low_price,close_price,volume,vtt,atp,total_buy_quantity,total_sell_quantity,lower_circuit,upper_circuit,bids,asks,date,created_at,modified_at,stoch,stoch_signal
99,707216,585,M5,220.05,221.9,219.2,221.3,588700,,,,,,,{},{},2019-10-30 11:15:00.000000,2019-11-01 16:56:54.717184,2019-11-01 10:03:16.768698,62.740384615384635,60.73717948717948
100,707217,585,M5,221.3,222.7,220.45,221.6,500661,,,,,,,{},{},2019-10-30 11:20:00.000000,2019-11-01 16:56:54.721489,2019-11-01 10:03:16.768758,64.18269230769225,61.217948717948694
101,707218,585,M5,221.3,221.65,220.0,220.6,335750,,,,,,,{},{},2019-10-30 11:25:00.000000,2019-11-01 16:56:54.726508,2019-11-01 10:03:16.768816,59.37499999999994,62.09935897435892
102,707219,585,M5,220.55,221.25,218.7,219.0,447643,,,,,,,{},{},2019-10-30 11:30:00.000000,2019-11-01 16:56:54.731100,2019-11-01 10:03:16.768876,51.33171912832926,58.2964704786738
103,707220,585,M5,219.05,219.9,217.75,219.0,601382,,,,,,,{},{},2019-10-30 11:35:00.000000,2019-11-01 16:56:54.736184,2019-11-01 10:03:16.768935,50.37037037037032,53.69236316623316
104,707221,585,M5,219.0,221.4,218.85,221.15,551559,,,,,,,{},{},2019-10-30 11:40:00.000000,2019-11-01 16:56:54.740204,2019-11-01 10:03:16.768992,50.77881619937695,50.82696856602549
105,707222,585,M5,221.1,221.25,219.1,219.3,291658,,,,,,,{},{},2019-10-30 11:45:00.000000,2019-11-01 16:56:54.744705,2019-11-01 10:03:16.769049,21.37096774193552,40.84005143722757
106,707223,585,M5,219.15,219.9,218.65,218.8,239281,,,,,,,{},{},2019-10-30 11:50:00.000000,2019-11-01 16:56:54.749810,2019-11-01 10:03:16.769106,17.33870967741939,29.829497872910594
107,707224,585,M5,218.95,220.85,218.7,219.7,303226,,,,,,,{},{},2019-10-30 11:55:00.000000,2019-11-01 16:56:54.754953,2019-11-01 10:03:16.769165,36.96969696969676,25.226458129683866
108,707225,585,M5,219.7,220.95,219.55,220.5,205163,,,,,,,{},{},2019-10-30 12:00:00.000000,2019-11-01 16:56:54.759544,2019-11-01 10:03:16.769222,55.79710144927523,36.701836032130444
109,707226,585,M5,220.6,221.6,219.75,220.05,469814,,,,,,,{},{},2019-10-30 12:05:00.000000,2019-11-01 16:56:54.764316,2019-11-01 10:03:16.769283,56.198347107438266,49.6550485088034
110,707227,585,M5,220.2,221.2,219.9,220.5,211236,,,,,,,{},{},2019-10-30 12:10:00.000000,2019-11-01 16:56:54.769793,2019-11-01 10:03:16.769340,62.39316239316255,58.12953698329199
